condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note,source_file,lhs_point_id,detector_efficiency,dark_count_rate,alice_delay_ms,bob_delay_ms
loss_1pct,1.0,,,0.0102827763496143,3897.0,2928.0,0.2928,48.90219759941101,59.87460980762275,,,10.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0132275132275132,3788.0,2717.0,0.2717,53.62411880493164,50.667499262479744,,,10.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0026109660574412,3834.0,3270.0,0.327,117.44653129577635,27.842457022122343,,,10.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0745501285347043,3899.0,823.0,0.0823,49.4106707572937,16.656321142503693,0.8,,,1.0,,joint_fault_lowloss_results.csv,,,,,
baseline,,,,0.1015625,3845.0,180.0,0.018,48.93804979324341,3.6781195973373575,0.8,,,2.0,,joint_fault_lowloss_results.csv,,,,,
baseline,,,,0.1358974358974359,3907.0,0.0,0.0,49.29475903511048,0.0,0.8,,,3.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.001pct,0.001,,,0.0964467005076142,3948.0,301.0,0.0301,48.89619851112366,6.155897782759613,0.8,,,1.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.001pct,0.001,,,0.0961038961038961,3859.0,302.0,0.0302,48.62956500053406,6.210213889363053,0.8,,,2.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.001pct,0.001,,,0.1227621483375959,3911.0,0.0,0.0,49.763842821121216,0.0,0.8,,,3.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.01pct,0.01,,,0.0885416666666666,3845.0,473.0,0.0473,48.02431631088257,9.84917717387297,0.8,,,1.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.01pct,0.01,,,0.1028277634961439,3897.0,155.0,0.0155,48.69273924827576,3.183226131717136,0.8,,,2.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.01pct,0.01,,,0.1230366492146596,3825.0,0.0,0.0,49.63894748687744,0.0,0.8,,,3.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.1pct,0.1,,,0.0837837837837837,3707.0,564.0,0.0564,48.80411529541016,11.556402499791696,0.8,,,1.0,,joint_fault_lowloss_results.csv,,,,,
